pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2024-08-22,89.2,2.04,6.31,"Vespi, Nick",670541,663989,strikeout,swinging_strike,,,,,13,Yordan Alvarez strikes out swinging.,R,L,L,BAL,HOU,S,2,,0,2,2024,-0.1,0.26,-1.44,2.24,,,608324,2,9,Top,,,,,,,-8.255130740377988,-129.6634360158876,-4.478991330088438,0.5919103683957337,27.104276018198387,-28.4829475761857,3.49,1.62,,,,88.2,2180,5.7,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.76,,0.0,0.0,1,0,0,,69,5,Cutter,0,6,6,0,6,0,6,0,Infield shade,Standard,180,0.001,-0.169,81.3,8.2,,0.169,,-6,6,0.002,0.998,28,27,29,27,1,4,53,1,,4,2.61,-0.1,-0.1,45.3
SL,2024-08-22,84.1,2.36,6.25,"Vespi, Nick",670541,663989,,foul,,,,,4,Yordan Alvarez strikes out swinging.,R,L,L,BAL,HOU,S,,,0,2,2024,-1.1,0.11,-0.71,2.26,,,608324,2,9,Top,,,,,,,-4.883664658928697,-122.43093496802904,-3.013974238980074,-9.948354232069546,25.975664356527293,-30.624535506305925,3.49,1.62,146,79.1,65,83.1,2384,5.8,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.73,,,,,,,,69,4,Slider,0,6,6,0,6,0,6,0,Infield shade,Standard,300,0.0,0.0,76.7,7.6,,0.0,88.0,-6,6,0.002,0.998,28,27,29,27,1,4,53,1,,4,3.13,-1.1,-1.1,45.8
SL,2024-08-22,83.2,2.32,6.27,"Vespi, Nick",670541,663989,,foul,,,,,7,Yordan Alvarez strikes out swinging.,R,L,L,BAL,HOU,S,,,0,2,2024,-1.07,0.51,-0.33,1.55,,,608324,2,9,Top,,,,,,,-3.949684359930001,-121.02508106558032,-5.294700745837174,-9.681882137849248,24.71749119677948,-26.27188359082911,3.49,1.62,183,65.9,48,82.2,2616,5.7,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.77,,,,,,,,69,3,Slider,0,6,6,0,6,0,6,0,Infield shade,Standard,304,0.0,0.0,77.2,8.7,,0.0,88.0,-6,6,0.002,0.998,28,27,29,27,1,4,53,1,,4,2.79,-1.07,-1.07,49.1
SL,2024-08-22,82.5,2.42,6.24,"Vespi, Nick",670541,663989,,swinging_strike,,,,,7,Yordan Alvarez strikes out swinging.,R,L,L,BAL,HOU,S,,,0,1,2024,-1.06,0.62,-0.68,1.77,,,608324,2,9,Top,,,,,,,-4.949850866703916,-120.02904940745536,-4.779620291519204,-9.188867911130384,24.922730389095,-25.41693189740953,3.49,1.62,,,,81.7,2642,5.9,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.59,,,,,,,,69,2,Slider,0,6,6,0,6,0,6,0,Infield shade,Standard,281,0.0,-0.054,69.1,8.9,,0.054,,-6,6,0.002,0.998,28,27,29,27,1,4,53,1,,4,2.75,-1.06,-1.06,46.2
FC,2024-08-22,89.0,2.44,6.31,"Vespi, Nick",670541,663989,,called_strike,,,,,6,Yordan Alvarez strikes out swinging.,R,L,L,BAL,HOU,S,,,0,0,2024,-0.24,0.52,0.51,2.76,,,608324,2,9,Top,,,,,,,-4.2143315402082475,-129.58954716449455,-3.7380407351377776,-1.8152037870278104,26.531494744947334,-25.760967468470085,3.57,1.81,,,,88.2,2368,5.7,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.8,,,,,,,,69,1,Cutter,0,6,6,0,6,0,6,0,Infield shade,Standard,172,0.0,-0.047,,,,0.047,,-6,6,0.002,0.998,28,27,29,27,1,4,53,1,,4,2.35,-0.24,-0.24,46.0
FC,2024-08-22,87.3,2.24,6.32,"Vespi, Nick",608324,663989,walk,ball,,,,,11,Alex Bregman walks.,R,R,L,BAL,HOU,B,,,3,2,2024,-0.25,0.41,-0.02,3.71,,,,2,9,Top,,,,,,,-4.88401537321728,-127.15406383579104,-0.973060146609304,-1.6693272498996687,26.043661008760125,-27.74779985180847,3.28,1.6,,,,86.4,2246,5.7,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.81,,0.689131,0.7,1,0,0,,68,6,Cutter,0,6,6,0,6,0,6,0,Standard,Standard,194,-0.001,0.267,,,,-0.267,,-6,6,0.003,0.997,28,30,29,30,1,4,53,1,,1,2.58,-0.25,0.25,47.2
SL,2024-08-22,83.0,2.33,6.3,"Vespi, Nick",608324,663989,,ball,,,,,13,Alex Bregman walks.,R,R,L,BAL,HOU,B,,,2,2,2024,-0.81,-0.12,-1.41,-0.23,,,,2,9,Top,,,,,,,-6.892774071934883,-120.42175256720108,-8.040385393212425,-6.3146954423452,25.690605683346423,-31.812981064567087,3.29,1.61,,,,81.6,2484,5.7,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.75,,,,,,,,68,5,Slider,0,6,6,0,6,0,6,0,Standard,Standard,291,0.0,0.106,,,,-0.106,,-6,6,0.003,0.997,28,30,29,30,1,4,53,1,,1,3.48,-0.81,0.81,46.6
SL,2024-08-22,82.9,2.51,6.24,"Vespi, Nick",608324,663989,,ball,,,,,13,Alex Bregman walks.,R,R,L,BAL,HOU,B,,,1,2,2024,-0.95,0.03,-0.77,0.58,,,,2,9,Top,,,,,,,-5.571931039497206,-120.53500157470984,-6.393409925744045,-8.119665971237632,24.833552244668113,-30.804723746591765,3.31,1.64,,,,81.9,2642,5.8,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.68,,,,,,,,68,4,Slider,0,6,6,0,6,0,6,0,Standard,Standard,306,0.0,0.039,,,,-0.039,,-6,6,0.003,0.997,28,30,29,30,1,4,53,1,,1,3.31,-0.95,0.95,45.2
SL,2024-08-22,82.8,2.35,6.36,"Vespi, Nick",608324,663989,,called_strike,,,,,3,Alex Bregman walks.,R,R,L,BAL,HOU,S,,,1,1,2024,-0.82,0.22,0.75,3.4,,,,2,9,Top,,,,,,,-2.031653777022135,-120.56040803714647,-0.7042075842234569,-7.576179244714758,24.0392350661119,-30.090640807219884,3.34,1.64,,,,81.8,2534,5.6,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.9,,,,,,,,68,3,Slider,0,6,6,0,6,0,6,0,Standard,Standard,289,0.0,-0.064,,,,0.064,,-6,6,0.003,0.997,28,30,29,30,1,4,53,1,,1,3.11,-0.82,0.82,46.4
FC,2024-08-22,88.2,2.26,6.35,"Vespi, Nick",608324,663989,,foul,,,,,5,Alex Bregman walks.,R,R,L,BAL,HOU,S,,,1,0,2024,-0.13,0.5,-0.24,2.23,,,,2,9,Top,,,,,,,-5.749670552958005,-128.28334800826715,-4.943251702430455,-0.2974495641786694,26.29287971372382,-25.837023701633623,3.29,1.6,29,93.5,-3,87.4,2355,5.8,746998,668939,656811,702616,602104,683002,681297,656775,596103,54.7,,,,,,,,68,2,Cutter,0,6,6,0,6,0,6,0,Standard,Standard,159,0.0,-0.051,75.0,7.7,,0.051,93.5,-6,6,0.003,0.997,28,30,29,30,1,4,53,1,,1,2.43,-0.13,0.13,46.8
