pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-23,,,,"Vogel, Tyler",699912,804922,grounded_into_double_play,hit_into_play,,,,,,"Jose Fernandez grounds into a double play, shortstop Will Wilson to second baseman Diego Velasquez to first baseman Logan Wyatt.   Jeremiah Boyd out at 2nd.    Jose Fernandez out at 1st.",S,R,R,SF,AZ,X,6,ground_ball,0,0,2024,,,,,,645444,681317,1,9,Top,110.21,154.65,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,0.0,,0,0,,83,1,,5,11,11,5,11,5,11,5,,,,0.001,-0.306,,,,0.306,,-6,6,0.002,0.998,23,20,24,21,1,1,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",681184,804922,field_out,hit_into_play,,,,,,Kevin Graham flies out to left fielder Hunter Bishop.,S,L,R,SF,AZ,X,7,fly_ball,0,0,2024,,,,,,645444,681317,0,9,Top,97.56,115.17,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,0.0,,0,0,,82,1,,5,11,11,5,11,5,11,5,,,,0.001,-0.247,,,,0.247,,-6,6,0.001,0.999,23,24,24,25,1,2,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",681317,804922,walk,ball,,,,,,Jeremiah Boyd walks.   Jose Herrera to 2nd.,S,R,R,SF,AZ,B,,,3,0,2024,,,,,,,645444,0,9,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,0.7,,0,0,,81,4,,5,11,11,5,11,5,11,5,,,,-0.001,0.174,,,,-0.174,,-6,6,0.002,0.998,23,23,24,24,1,0,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",681317,804922,,ball,,,,,,Jeremiah Boyd walks.   Jose Herrera to 2nd.,S,R,R,SF,AZ,B,,,2,0,2024,,,,,,,645444,0,9,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,,,,,,81,3,,5,11,11,5,11,5,11,5,,,,0.0,0.113,,,,-0.113,,-6,6,0.002,0.998,23,23,24,24,1,0,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",681317,804922,,ball,,,,,,Jeremiah Boyd walks.   Jose Herrera to 2nd.,S,R,R,SF,AZ,B,,,1,0,2024,,,,,,,645444,0,9,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,,,,,,81,2,,5,11,11,5,11,5,11,5,,,,0.0,0.068,,,,-0.068,,-6,6,0.002,0.998,23,23,24,24,1,0,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",681317,804922,,ball,,,,,,Jeremiah Boyd walks.   Jose Herrera to 2nd.,S,R,R,SF,AZ,B,,,0,0,2024,,,,,,,645444,0,9,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,,,,,,81,1,,5,11,11,5,11,5,11,5,,,,0.0,0.042,,,,-0.042,,-6,6,0.002,0.998,23,23,24,24,1,0,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",645444,804922,walk,ball,,,,,,Jose Herrera walks.,S,L,R,SF,AZ,B,,,3,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,0.7,,0,0,,80,4,,5,11,11,5,11,5,11,5,,,,0.0,0.197,,,,-0.197,,-6,6,0.002,0.998,23,27,24,27,1,4,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",645444,804922,,ball,,,,,,Jose Herrera walks.,S,L,R,SF,AZ,B,,,2,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,,,,,,80,3,,5,11,11,5,11,5,11,5,,,,0.0,0.147,,,,-0.147,,-6,6,0.002,0.998,23,27,24,27,1,4,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",645444,804922,,ball,,,,,,Jose Herrera walks.,S,L,R,SF,AZ,B,,,1,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,,,,,,80,2,,5,11,11,5,11,5,11,5,,,,0.0,0.069,,,,-0.069,,-6,6,0.002,0.998,23,27,24,27,1,4,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",645444,804922,,ball,,,,,,Jose Herrera walks.,S,L,R,SF,AZ,B,,,0,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,,,,,,80,1,,5,11,11,5,11,5,11,5,,,,0.0,0.038,,,,-0.038,,-6,6,0.002,0.998,23,27,24,27,1,4,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",800306,804922,field_out,hit_into_play,,,,,,Jansel Luis flies out to left fielder Hunter Bishop.,S,L,R,SF,AZ,X,7,fly_ball,0,0,2024,,,,,,,,2,8,Top,84.9,137.95,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,0.0,,0,0,,74,1,,5,11,11,5,11,5,11,5,,,,0.001,-0.256,,,,0.256,,-6,6,0.008,0.992,23,19,24,19,1,0,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",679741,804922,field_out,hit_into_play,,,,,,"Wilderd Patiño grounds out, shortstop Will Wilson to first baseman Logan Wyatt.",S,R,R,SF,AZ,X,6,ground_ball,0,0,2024,,,,,,,,1,8,Top,116.29,156.67,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,0.0,,0,0,,73,1,,5,11,11,5,11,5,11,5,,,,0.0,-0.256,,,,0.256,,-6,6,0.008,0.992,23,22,24,23,1,1,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",800198,804922,strikeout,foul_tip,,,,,,Cristofer Torin strikes out on a foul tip.,S,R,R,SF,AZ,S,2,,0,2,2024,,,,,,,,0,8,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,0.0,,0,0,,72,3,,5,11,11,5,11,5,11,5,,,,0.001,-0.163,,,,0.163,,-6,6,0.007,0.993,23,19,24,19,1,1,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",800198,804922,,swinging_strike,,,,,,Cristofer Torin strikes out on a foul tip.,S,R,R,SF,AZ,S,,,0,1,2024,,,,,,,,0,8,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,,,,,,72,2,,5,11,11,5,11,5,11,5,,,,0.0,-0.054,,,,0.054,,-6,6,0.007,0.993,23,19,24,19,1,1,,,,,,,,
,2024-03-23,,,,"Vogel, Tyler",800198,804922,,swinging_strike,,,,,,Cristofer Torin strikes out on a foul tip.,S,R,R,SF,AZ,S,,,0,0,2024,,,,,,,,0,8,Top,,,,,,,,,,,,,,,,,,,,,747835,681439,668824,694196,694368,669717,666183,687529,682674,,,,,,,,,72,1,,5,11,11,5,11,5,11,5,,,,0.0,-0.037,,,,0.037,,-6,6,0.007,0.993,23,19,24,19,1,1,,,,,,,,
