pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-08-11,94.8,-1.97,6.01,"Weems, Jordan",683021,607179,walk,ball,,,,,11,Michael Stefanic walks. Brandon Drury scores. Jo Adell to 3rd. Matt Thaiss to 2nd.,R,R,R,WSH,LAA,B,,,3,2,2024,-0.58,1.52,-1.05,4.35,592273,666176,642136,2,7,Top,,,,,,,3.7474836311932505,-138.04251596918425,-2.0649326647641435,-8.294242085401178,32.001335303158704,-12.588990369473352,3.29,1.61,,,,95.2,2132,6.6,744816,656180,660766,671277,545121,683083,695578,696285,669743,53.89,,0.689131,0.7,1,0,0,,57,8,4-Seam Fastball,0,5,5,0,6,0,6,0,Standard,Standard,213,-0.013,0.251,,,,-0.251,,-5,5,0.026,0.974,31,28,32,28,1,3,18,1,,3,1.03,0.58,0.58,47.7
FF,2024-08-11,95.9,-1.96,6.09,"Weems, Jordan",683021,607179,,foul,,,,,2,Michael Stefanic walks. Brandon Drury scores. Jo Adell to 3rd. Matt Thaiss to 2nd.,R,R,R,WSH,LAA,S,,,3,2,2024,-0.58,1.61,0.02,3.21,592273,666176,642136,2,7,Top,,,,,,,6.608740188158399,-139.3590434162426,-5.665883646537298,-9.0938529941092,32.18556449862911,-10.095409256270106,3.31,1.56,224,75.7,45,96.4,2091,6.7,744816,656180,660766,671277,545121,683083,695578,696285,669743,53.82,,,,,,,,57,7,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,205,0.0,0.0,60.7,5.6,,0.0,88.0,-5,5,0.026,0.974,31,28,32,28,1,3,18,1,,3,0.88,0.58,0.58,51.3
FF,2024-08-11,95.2,-1.87,6.04,"Weems, Jordan",683021,607179,,ball,,,,,14,Michael Stefanic walks. Brandon Drury scores. Jo Adell to 3rd. Matt Thaiss to 2nd.,R,R,R,WSH,LAA,B,,,2,2,2024,-0.6,1.42,1.67,1.39,592273,666176,642136,2,7,Top,,,,,,,10.689384488668807,-137.98973562505572,-9.771392807488812,-10.026805064528329,30.525003843957613,-11.935947715500834,3.26,1.59,,,,95.7,2116,6.8,744816,656180,660766,671277,545121,683083,695578,696285,669743,53.75,,,,,,,,57,6,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,208,0.0,0.103,,,,-0.103,,-5,5,0.026,0.974,31,28,32,28,1,3,18,1,,3,1.11,0.6,0.6,51.5
SL,2024-08-11,86.6,-2.14,6.06,"Weems, Jordan",683021,607179,,foul,,,,,1,Michael Stefanic walks. Brandon Drury scores. Jo Adell to 3rd. Matt Thaiss to 2nd.,R,R,R,WSH,LAA,S,,,2,2,2024,0.39,0.22,-0.65,2.93,592273,666176,642136,2,7,Top,,,,,,,2.7764360636126453,-126.24234777293972,-1.7874042506054826,3.626810203780897,24.088087467679543,-29.63242146158404,3.31,1.56,89,56.7,10,87.3,2360,6.5,744816,656180,660766,671277,545121,683083,695578,696285,669743,54.02,,,,,,,,57,5,Slider,0,5,5,0,5,0,5,0,Standard,Standard,125,0.0,0.0,46.6,4.2,,0.0,88.0,-5,5,0.026,0.974,31,28,32,28,1,3,18,1,,3,2.79,-0.39,-0.39,48.1
FF,2024-08-11,94.9,-1.87,6.08,"Weems, Jordan",683021,607179,,called_strike,,,,,2,Michael Stefanic walks. Brandon Drury scores. Jo Adell to 3rd. Matt Thaiss to 2nd.,R,R,R,WSH,LAA,S,,,2,1,2024,-0.49,1.48,0.23,3.28,592273,666176,642136,2,7,Top,,,,,,,6.619964848761828,-137.92719510160816,-4.921438947639622,-7.756638506630351,32.64931690861804,-12.459802604587187,3.26,1.5,,,,95.0,2273,6.6,744816,656180,660766,671277,545121,683083,695578,696285,669743,53.93,,,,,,,,57,4,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,206,0.0,-0.05,,,,0.05,,-5,5,0.026,0.974,31,28,32,28,1,3,18,1,,3,1.07,0.49,0.49,50.3
FF,2024-08-11,95.6,-1.87,6.03,"Weems, Jordan",683021,607179,,ball,,,,,14,Michael Stefanic walks. Brandon Drury scores. Jo Adell to 3rd. Matt Thaiss to 2nd.,R,R,R,WSH,LAA,B,,,1,1,2024,-0.88,1.52,0.23,0.97,592273,666176,642136,2,7,Top,,,,,,,7.5609845880676705,-138.61467101850448,-11.165080454713893,-13.045598221920914,30.708112737631055,-10.203224352390537,3.28,1.61,,,,96.1,2238,6.8,744816,656180,660766,671277,545121,683083,695578,696285,669743,53.73,,,,,,,,57,3,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,208,0.0,0.052,,,,-0.052,,-5,5,0.026,0.974,31,28,32,28,1,3,18,1,,3,0.99,0.88,0.88,49.3
FF,2024-08-11,95.8,-2.05,6.06,"Weems, Jordan",683021,607179,,ball,,,,,11,Michael Stefanic walks. Brandon Drury scores. Jo Adell to 3rd. Matt Thaiss to 2nd.,R,R,R,WSH,LAA,B,,,0,1,2024,-0.98,1.27,-0.61,3.84,592273,666176,642136,2,7,Top,,,,,,,6.021772046894188,-139.42736637795562,-3.1651236885608873,-14.116706453170451,30.28028785819571,-15.078047398870757,3.29,1.51,,,,96.4,2231,6.5,744816,656180,660766,671277,545121,683083,695578,696285,669743,53.96,,,,,,,,57,2,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,210,0.0,0.031,,,,-0.031,,-5,5,0.026,0.974,31,28,32,28,1,3,18,1,,3,1.21,0.98,0.98,49.6
FF,2024-08-11,96.9,-1.77,6.03,"Weems, Jordan",683021,607179,,called_strike,,,,,6,Michael Stefanic walks. Brandon Drury scores. Jo Adell to 3rd. Matt Thaiss to 2nd.,R,R,R,WSH,LAA,S,,,0,0,2024,-0.67,1.43,0.57,2.19,592273,666176,642136,2,7,Top,,,,,,,7.824466183077464,-140.87492146013278,-8.087493101992038,-10.548089898724353,29.464060625001167,-11.405634042830291,3.3,1.55,,,,97.9,2181,6.7,744816,656180,660766,671277,545121,683083,695578,696285,669743,53.78,,,,,,,,57,1,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,209,0.0,-0.044,,,,0.044,,-5,5,0.026,0.974,31,28,32,28,1,3,18,1,,3,0.98,0.67,0.67,50.8
FF,2024-08-11,95.3,-2.04,6.03,"Weems, Jordan",642136,607179,walk,ball,,,,,11,Matt Thaiss walks. Brandon Drury to 3rd. Jo Adell to 2nd.,R,L,R,WSH,LAA,B,,,3,2,2024,-0.78,1.36,-0.39,3.47,,592273,666176,2,7,Top,,,,,,,6.116776123493788,-138.65410707789712,-4.157237264789983,-11.441562153489784,30.9209916908155,-13.914963378105746,3.29,1.59,,,,95.7,2136,6.5,744816,656180,660766,671277,545121,683083,695578,696285,669743,54.01,,0.689131,0.7,1,0,0,,56,6,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,208,-0.002,0.216,,,,-0.216,,-5,5,0.028,0.972,31,29,32,29,1,3,18,1,,1,1.15,0.78,-0.78,49.4
FF,2024-08-11,96.7,-1.9,6.03,"Weems, Jordan",642136,607179,,ball,,,,,14,Matt Thaiss walks. Brandon Drury to 3rd. Jo Adell to 2nd.,R,L,R,WSH,LAA,B,,,2,2,2024,-0.82,1.31,1.0,1.47,,592273,666176,2,7,Top,,,,,,,9.691952916453449,-140.3329818882269,-9.6763226771274,-13.015105017921329,30.34220459485101,-12.79539394237503,3.41,1.57,,,,97.5,2140,6.8,744816,656180,660766,671277,545121,683083,695578,696285,669743,53.72,,,,,,,,56,5,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,210,0.0,0.093,,,,-0.093,,-5,5,0.028,0.972,31,29,32,29,1,3,18,1,,1,1.13,0.82,-0.82,51.1
