pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SV,2024-09-04,85.7,-1.58,6.01,"Whitley, Forrest",668715,666215,single,hit_into_play,,,,,9,Spencer Steer singles on a ground ball to third baseman Zach Dezenzo.   Jonathan India scores.    TJ Friedl to 2nd.,R,R,R,CIN,HOU,X,5,ground_ball,3,2,2024,0.77,-0.27,0.36,1.59,,663697,670770,2,5,Bot,96.39,166.49,,,,,3.0455000590754633,-124.8214126086281,-3.6489445484434446,7.369333965853256,25.80393440479782,-34.420986476296584,3.2,1.47,114,90.6,8,86.0,2663,6.5,746666,605170,572138,694376,701305,643289,592325,676801,518792,53.99,0.529,0.48,0.9,1,1,0,4,52,6,Slurve,11,1,11,1,1,12,12,1,Standard,Standard,41,0.0,0.546,71.7,8.1,0.586,-0.546,90.6,10,10,0.999,0.999,26,26,27,27,2,3,2,2,,1,3.37,-0.77,-0.77,36.8
SI,2024-09-04,93.9,-1.38,6.1,"Whitley, Forrest",668715,666215,,called_strike,,,,,12,Spencer Steer singles on a ground ball to third baseman Zach Dezenzo.   Jonathan India scores.    TJ Friedl to 2nd.,R,R,R,CIN,HOU,S,,,3,1,2024,-1.24,0.96,1.05,2.55,,663697,670770,2,5,Bot,,,,,,,9.127581632832834,-136.449156509806,-5.616938213320211,-17.476062020400075,29.740149323485433,-19.133956170783,3.38,1.5,,,,94.8,1990,6.9,746666,605170,572138,694376,701305,643289,592325,676801,518792,53.62,,,,,,,,52,5,Sinker,11,1,11,1,1,11,11,1,Standard,Standard,223,0.0,-0.074,,,,0.074,,10,10,0.999,0.999,26,26,27,27,2,3,2,2,,1,1.63,1.24,1.24,42.4
SI,2024-09-04,93.9,-1.47,6.13,"Whitley, Forrest",668715,666215,,ball,,,,,11,Spencer Steer singles on a ground ball to third baseman Zach Dezenzo.   Jonathan India scores.    TJ Friedl to 2nd.,R,R,R,CIN,HOU,B,,,2,1,2024,-1.23,0.64,-0.95,4.9,,663697,670770,2,5,Bot,,,,,,,4.087155733538251,-136.7909520464899,1.12856496121198,-16.34554751887346,29.83280844878386,-24.629277370091735,3.35,1.56,,,,94.5,2088,6.6,746666,605170,572138,694376,701305,643289,592325,676801,518792,53.92,,,,,,,,52,4,Sinker,11,1,11,1,1,11,11,1,Standard,Standard,217,0.0,0.065,,,,-0.065,,10,10,0.999,0.999,26,26,27,27,2,3,2,2,,1,1.94,1.23,1.23,37.8
CH,2024-09-04,93.8,-1.45,6.13,"Whitley, Forrest",668715,666215,,called_strike,,,,,12,Spencer Steer singles on a ground ball to third baseman Zach Dezenzo.   Jonathan India scores.    TJ Friedl to 2nd.,R,R,R,CIN,HOU,S,,,2,0,2024,-0.94,0.49,1.01,3.09,,663697,670770,2,5,Bot,,,,,,,8.474376821470171,-136.3518684848909,-3.276062570619532,-13.497832195943271,28.615886540945244,-25.491442466445676,3.38,1.56,,,,94.5,1973,6.6,746666,605170,572138,694376,701305,643289,592325,676801,518792,53.86,,,,,,,,52,3,Changeup,11,1,11,1,1,11,11,1,Standard,Standard,217,0.0,-0.043,,,,0.043,,10,10,0.999,0.999,26,26,27,27,2,3,2,2,,1,2.09,0.94,0.94,37.6
SI,2024-09-04,94.8,-1.57,6.11,"Whitley, Forrest",668715,666215,,ball,,,,,11,Spencer Steer singles on a ground ball to third baseman Zach Dezenzo.   Jonathan India scores.    TJ Friedl to 2nd.,R,R,R,CIN,HOU,B,,,1,0,2024,-0.99,0.76,-0.49,3.65,,663697,670770,2,5,Bot,,,,,,,5.087205541611217,-138.03967313138875,-2.4847805929059517,-13.82137643943187,31.26553277630873,-22.099706901498223,3.41,1.59,,,,95.5,1854,6.7,746666,605170,572138,694376,701305,643289,592325,676801,518792,53.83,,,,,,,,52,2,Sinker,11,1,11,1,1,11,11,1,Standard,Standard,218,0.0,0.044,,,,-0.044,,10,10,0.999,0.999,26,26,27,27,2,3,2,2,,1,1.78,0.99,0.99,36.9
CU,2024-09-04,84.1,-1.47,6.19,"Whitley, Forrest",668715,666215,,ball,,,,,13,Spencer Steer singles on a ground ball to third baseman Zach Dezenzo.   Jonathan India scores.    TJ Friedl to 2nd.,R,R,R,CIN,HOU,B,,,0,0,2024,0.65,-1.24,-0.41,0.81,,663697,670770,2,5,Bot,,,,,,,1.16333649995279,-122.4716713270457,-3.544142861084107,6.22686003285472,27.411094157635983,-43.96950532547773,3.38,1.59,,,,84.0,2856,6.5,746666,605170,572138,694376,701305,643289,592325,676801,518792,54.01,,,,,,,,52,1,Curveball,11,1,11,1,1,11,11,1,Standard,Standard,41,0.0,0.026,,,,-0.026,,10,10,0.999,0.999,26,26,27,27,2,3,2,2,,1,4.49,-0.65,-0.65,41.5
SI,2024-09-04,93.6,-1.43,5.96,"Whitley, Forrest",670770,666215,single,hit_into_play,,,,,7,TJ Friedl singles on a ground ball to center fielder Chas McCormick.   Amed Rosario scores.    Jonathan India to 2nd.,R,L,R,CIN,HOU,X,8,ground_ball,2,0,2024,-1.46,0.73,-0.39,1.76,,642708,663697,2,5,Bot,138.24,119.79,,,,,5.961888523368635,-136.10632868923972,-6.728392282519665,-19.501463396916485,30.780273750880813,-21.757463968436863,3.03,1.44,47,95.8,1,94.2,1862,6.8,746666,605170,572138,694376,701305,643289,592325,676801,518792,53.75,0.42,0.379,0.9,1,1,0,4,51,3,Sinker,10,1,10,1,1,11,11,1,Standard,Standard,221,0.002,0.494,71.7,6.5,0.453,-0.494,95.8,9,9,0.997,0.997,26,28,27,29,1,3,2,2,,1,1.88,1.46,-1.46,34.1
SI,2024-09-04,95.6,-1.49,6.1,"Whitley, Forrest",670770,666215,,ball,,,,,12,TJ Friedl singles on a ground ball to center fielder Chas McCormick.   Amed Rosario scores.    Jonathan India to 2nd.,R,L,R,CIN,HOU,B,,,1,0,2024,-1.3,0.81,0.82,4.34,,642708,663697,2,5,Bot,,,,,,,9.066024186818533,-138.89241804188683,-0.8176757485912204,-18.861371189209695,31.332767743132205,-21.78230587993081,3.2,1.44,,,,95.9,1973,6.6,746666,605170,572138,694376,701305,643289,592325,676801,518792,53.93,,,,,,,,51,2,Sinker,10,1,10,1,1,10,10,1,Standard,Standard,218,0.0,0.044,,,,-0.044,,9,9,0.997,0.997,26,28,27,29,1,3,2,2,,1,1.7,1.3,-1.3,32.6
FF,2024-09-04,94.2,-1.48,6.18,"Whitley, Forrest",670770,666215,,ball,,,,,11,TJ Friedl singles on a ground ball to center fielder Chas McCormick.   Amed Rosario scores.    Jonathan India to 2nd.,R,L,R,CIN,HOU,B,,,0,0,2024,-0.79,0.72,-0.01,3.77,,642708,663697,2,5,Bot,,,,,,,5.613752728312577,-137.13274673090055,-2.197248135536663,-11.185530970906273,29.43145631130301,-22.794601634087407,3.1,1.37,,,,94.9,2003,6.6,746666,605170,572138,694376,701305,643289,592325,676801,518792,53.89,,,,,,,,51,1,4-Seam Fastball,10,1,10,1,1,10,10,1,Standard,Standard,209,0.0,0.026,,,,-0.026,,9,9,0.997,0.997,26,28,27,29,1,3,2,2,,1,1.84,0.79,-0.79,36.2
SV,2024-09-04,86.5,-1.52,6.09,"Whitley, Forrest",663886,666215,strikeout,swinging_strike,,,,,12,Tyler Stephenson strikes out swinging.,R,R,R,CIN,HOU,S,2,,1,2,2024,1.03,-0.09,0.57,3.71,,642708,663697,1,5,Bot,,,,,,,2.9110856411517103,-126.03857932134532,0.725176338596961,10.332381350981494,26.01788946953464,-33.53461038940957,3.06,1.4,,,,87.0,2741,6.6,746666,605170,572138,694376,701305,643289,592325,676801,518792,53.95,,0.0,0.0,1,0,0,,50,4,Slurve,10,1,10,1,1,10,10,1,Standard,Standard,44,-0.001,-0.177,45.8,6.4,,0.177,,9,9,0.998,0.998,26,27,27,28,1,3,2,2,,1,3.14,-1.03,-1.03,36.0
