pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2024-07-14,94.7,-1.9,5.77,"Willingham, Amos",686217,686294,field_out,hit_into_play,,,,,14,Sal Frelick flies out to second baseman Ildemaro Vargas.,R,L,R,MIL,WSH,X,4,fly_ball,0,1,2024,0.1,0.74,1.12,2.13,,,,2,8,Bot,155.15,128.68,,,,,7.69716125780425,-137.7302439380242,-5.517282900722119,-0.3432772995665355,29.887129208745097,-21.71187297601154,3.02,1.45,193,66.7,49,95.4,2203,6.7,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.84,0.143,0.129,0.0,1,0,0,3,72,2,Cutter,9,3,9,3,3,9,9,3,Standard,Standard,200,0.0,-0.215,67.1,7.0,0.144,0.215,88.0,6,6,0.998,0.998,25,24,26,24,1,4,,1,,6,1.8,-0.1,0.1,44.9
FF,2024-07-14,97.3,-2.06,5.83,"Willingham, Amos",686217,686294,,called_strike,,,,,4,Sal Frelick flies out to second baseman Ildemaro Vargas.,R,L,R,MIL,WSH,S,,,0,0,2024,-0.65,1.47,-0.77,2.07,,,,2,8,Bot,,,,,,,4.958914286394946,-141.46099392681504,-7.947842577038113,-9.842983813735133,33.00552847508229,-10.805813844807664,3.15,1.48,,,,97.8,2288,6.7,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.84,,,,,,,,72,1,4-Seam Fastball,9,3,9,3,3,9,9,3,Standard,Standard,213,0.0,-0.041,,,,0.041,,6,6,0.998,0.998,25,24,26,24,1,4,,1,,6,0.95,0.65,-0.65,43.8
SL,2024-07-14,86.3,-2.11,5.72,"Willingham, Amos",642715,686294,home_run,hit_into_play,,,,,5,Willy Adames homers (15) on a fly ball to left center field.   Brice Turang scores.,R,R,R,MIL,WSH,X,,fly_ball,0,0,2024,0.72,0.25,0.06,2.32,,668930,,2,8,Bot,72.51,39.46,,,,,3.71005721203373,-125.66538461390408,-2.3705926651305833,6.843828233976538,26.579734331542,-29.297836352422156,3.44,1.74,415,104.5,27,86.7,2025,6.6,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.89,0.886,1.757,2.0,1,0,3,6,71,1,Slider,7,3,7,3,3,9,9,3,Standard,Standard,58,0.009,1.59,72.5,8.4,3.389,-1.59,104.5,4,4,0.989,0.989,25,28,26,29,1,4,,1,,6,2.82,-0.72,-0.72,44.2
FF,2024-07-14,98.5,-1.88,5.83,"Willingham, Amos",592885,686294,field_out,hit_into_play,,,,,2,"Christian Yelich grounds out, third baseman Trey Lipscomb to first baseman Juan Yepez.",R,L,R,MIL,WSH,X,5,ground_ball,3,2,2024,-0.41,1.39,0.11,2.91,,668930,,1,8,Bot,104.93,169.43,,,,,6.403207080957469,-143.2984918668675,-5.755527994539114,-7.055507633356209,32.73556557898263,-11.926918230275644,3.39,1.72,50,78.5,1,99.3,2235,6.7,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.78,0.183,0.192,0.0,1,0,0,2,70,9,4-Seam Fastball,7,3,7,3,3,7,7,3,Infield shade,Standard,208,-0.002,-0.273,68.0,6.3,0.211,0.273,88.0,4,4,0.991,0.991,25,32,26,33,1,4,,2,,6,0.96,0.41,-0.41,45.0
FF,2024-07-14,98.3,-1.95,5.87,"Willingham, Amos",592885,686294,,ball,,,,,11,"Christian Yelich grounds out, third baseman Trey Lipscomb to first baseman Juan Yepez.",R,L,R,MIL,WSH,B,,,2,2,2024,-0.74,1.33,-1.3,4.28,,668930,,1,8,Bot,,,,,,,3.4937168958054574,-143.19636699889773,-1.9304688280017697,-10.930862418489518,33.80204045153818,-13.687068397965666,3.43,1.7,,,,98.9,2308,6.6,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.87,,,,,,,,70,8,4-Seam Fastball,7,3,7,3,3,7,7,3,Strategic,Standard,205,0.0,0.074,,,,-0.074,,4,4,0.991,0.991,25,32,26,33,1,4,,2,,6,1.03,0.74,-0.74,45.4
FC,2024-07-14,94.5,-1.91,5.87,"Willingham, Amos",592885,686294,,foul,,,,,4,"Christian Yelich grounds out, third baseman Trey Lipscomb to first baseman Juan Yepez.",R,L,R,MIL,WSH,S,,,2,2,2024,0.0,0.65,-0.39,2.52,,668930,,1,8,Bot,,,,,,,3.979759505035803,-137.5742980540725,-4.554503814556008,-0.8518077534722176,29.142646387281246,-23.07741543761848,3.39,1.72,1,84.2,-62,95.4,2166,6.7,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.84,,,,,,,,70,7,Cutter,7,3,7,3,3,7,7,3,Standard,Standard,199,0.0,0.0,71.7,7.5,,0.0,88.0,4,4,0.991,0.991,25,32,26,33,1,4,,2,,6,1.89,0.0,0.0,46.6
FF,2024-07-14,97.4,-1.87,5.8,"Willingham, Amos",592885,686294,,foul,,,,,11,"Christian Yelich grounds out, third baseman Trey Lipscomb to first baseman Juan Yepez.",R,L,R,MIL,WSH,S,,,2,2,2024,-0.5,1.41,-1.16,3.04,,668930,,1,8,Bot,,,,,,,3.0858034989974805,-141.76264211827737,-5.177696653208315,-7.489616947859407,32.139964266493294,-12.222673624584663,3.39,1.72,237,79.2,37,98.3,2339,6.8,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.74,,,,,,,,70,6,4-Seam Fastball,7,3,7,3,3,7,7,3,Infield shade,Standard,208,0.0,0.0,62.8,7.1,,0.0,88.0,4,4,0.991,0.991,25,32,26,33,1,4,,2,,6,0.99,0.5,-0.5,44.8
FF,2024-07-14,97.9,-1.7,5.9,"Willingham, Amos",592885,686294,,ball,,,,,12,"Christian Yelich grounds out, third baseman Trey Lipscomb to first baseman Juan Yepez.",R,L,R,MIL,WSH,B,,,1,2,2024,-0.45,1.27,0.87,3.65,,668930,,1,8,Bot,,,,,,,8.0436055244733,-142.4269131677175,-3.564331099307607,-8.023073864045582,32.97024359468331,-14.21003965738257,3.46,1.77,,,,98.6,2285,6.7,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.78,,,,,,,,70,5,4-Seam Fastball,7,3,7,3,3,7,7,3,Infield shade,Standard,204,0.0,0.018,,,,-0.018,,4,4,0.991,0.991,25,32,26,33,1,4,,2,,6,1.11,0.45,-0.45,51.8
FF,2024-07-14,97.2,-1.79,5.85,"Willingham, Amos",592885,686294,,foul,,,,,4,"Christian Yelich grounds out, third baseman Trey Lipscomb to first baseman Juan Yepez.",R,L,R,MIL,WSH,S,,,1,2,2024,-0.62,1.35,-0.37,2.57,,668930,,1,8,Bot,,,,,,,5.275780661801763,-141.42263479422465,-6.39847357605821,-9.570704243123254,32.58758110826604,-12.730308623071489,3.39,1.72,110,82.4,8,97.8,2326,6.7,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.82,,,,,,,,70,4,4-Seam Fastball,7,3,7,3,3,7,7,3,Infield shade,Standard,205,0.0,0.0,72.3,7.0,,0.0,88.0,4,4,0.991,0.991,25,32,26,33,1,4,,2,,6,1.06,0.62,-0.62,48.1
FF,2024-07-14,98.9,-1.78,5.95,"Willingham, Amos",592885,686294,,ball,,,,,12,"Christian Yelich grounds out, third baseman Trey Lipscomb to first baseman Juan Yepez.",R,L,R,MIL,WSH,B,,,0,2,2024,-0.55,1.34,0.63,3.8,,668930,,1,8,Bot,,,,,,,7.898822644595328,-143.83508398570623,-3.5736662825946586,-9.472205268762725,33.4986366722308,-12.90176225578155,3.46,1.83,,,,99.5,2346,6.7,745962,660688,660766,545121,702358,682928,695578,696285,657041,53.85,,,,,,,,70,3,4-Seam Fastball,7,3,7,3,3,7,7,3,Standard,Standard,206,0.0,0.024,,,,-0.024,,4,4,0.991,0.991,25,32,26,33,1,4,,2,,6,0.99,0.55,-0.55,46.7
