pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
EP,2024-04-27,68.2,-3.68,5.9,"Wisdom, Patrick",677800,621550,field_out,hit_into_play,,,,,13,"Wilyer Abreu grounds out, pitcher Patrick Wisdom to first baseman Matt Mervis.",R,L,R,BOS,CHC,X,1,ground_ball,2,2,2024,-1.24,0.68,-1.63,2.38,680776,622569,641933,2,8,Bot,128.16,180.06,,,,,5.6728292694801326,-99.1353653801736,0.1652634263177532,-9.085961111454742,16.102486712517635,-27.94835158041554,3.41,1.61,12,82.0,-10,66.3,1734,4.8,746971,543228,670223,663611,683737,663538,672744,691718,643565,55.68,0.086,0.075,0.0,1,0,0,2,79,8,Eephus,17,0,17,0,0,17,17,0,Strategic,Standard,240,0.0,-0.268,68.0,7.4,0.1,0.268,88.0,17,17,1.0,1.0,32,25,33,25,1,5,,2,,1,4.24,1.24,-1.24,18.9
EP,2024-04-27,57.4,-2.94,7.02,"Wisdom, Patrick",677800,621550,,foul,,,,,9,"Wilyer Abreu grounds out, pitcher Patrick Wisdom to first baseman Matt Mervis.",R,L,R,BOS,CHC,S,,,2,2,2024,0.25,1.67,0.44,2.06,680776,622569,641933,2,8,Bot,,,,,,,4.853272491721068,-83.53423552639194,-0.7220291595482626,0.4715915903230927,11.75029257653668,-24.51832819918892,3.41,1.61,95,64.0,75,55.5,1384,4.5,746971,543228,670223,663611,683737,663538,672744,691718,643565,56.05,,,,,,,,79,7,Eephus,17,0,17,0,0,17,17,0,Strategic,Standard,208,0.0,0.0,74.8,7.7,,0.0,88.0,17,17,1.0,1.0,32,25,33,25,1,5,,2,,1,5.27,-0.25,0.25,44.1
EP,2024-04-27,56.5,-3.47,6.43,"Wisdom, Patrick",677800,621550,,ball,,,,,11,"Wilyer Abreu grounds out, pitcher Patrick Wisdom to first baseman Matt Mervis.",R,L,R,BOS,CHC,B,,,1,2,2024,-0.64,0.65,-2.1,3.92,680776,622569,641933,2,8,Bot,,,,,,,2.8696665549292497,-82.14936828798695,4.4041127133568665,-3.2804040889071286,9.504173422064714,-29.902255728237098,3.43,1.6,,,,54.8,1586,4.3,746971,543228,670223,663611,683737,663538,672744,691718,643565,56.17,,,,,,,,79,6,Eephus,17,0,17,0,0,17,17,0,Strategic,Standard,213,0.0,0.052,,,,-0.052,,17,17,1.0,1.0,32,25,33,25,1,5,,2,,1,6.43,0.64,-0.64,27.7
FA,2024-04-27,87.9,-3.41,6.09,"Wisdom, Patrick",677800,621550,,blocked_ball,,,,,14,"Wilyer Abreu grounds out, pitcher Patrick Wisdom to first baseman Matt Mervis.",R,L,R,BOS,CHC,B,,,0,2,2024,-0.7,1.38,0.65,0.17,680776,622569,641933,2,8,Bot,,,,,,,11.0635115741627,-127.26016910692218,-10.87445735356837,-9.78878571058686,24.03711482871025,-15.037983946516851,3.43,1.57,,,,86.4,2198,5.5,746971,543228,670223,663611,683737,663538,672744,691718,643565,55.04,,,,,,,,79,5,Other,17,0,17,0,0,17,17,0,Strategic,Standard,218,0.0,0.023,,,,-0.023,,17,17,1.0,1.0,32,25,33,25,1,5,,2,,1,1.58,0.7,-0.7,29.2
EP,2024-04-27,57.6,-3.01,6.81,"Wisdom, Patrick",677800,621550,,foul,,,,,14,"Wilyer Abreu grounds out, pitcher Patrick Wisdom to first baseman Matt Mervis.",R,L,R,BOS,CHC,S,,,0,2,2024,0.31,0.28,0.88,2.12,680776,622569,641933,2,8,Bot,,,,,,,5.613225503196564,-83.75545341164761,1.32435513166985,0.8009038495680342,9.783909938688002,-31.192953604427696,3.41,1.61,3,71.0,-34,56.5,1810,4.9,746971,543228,670223,663611,683737,663538,672744,691718,643565,55.56,,,,,,,,79,4,Eephus,17,0,17,0,0,17,17,0,Strategic,Standard,72,0.0,0.0,75.4,6.8,,0.0,88.0,17,17,1.0,1.0,32,25,33,25,1,5,,2,,1,6.52,-0.31,0.31,40.6
EP,2024-04-27,66.8,-3.65,6.1,"Wisdom, Patrick",677800,621550,,foul,,,,,6,"Wilyer Abreu grounds out, pitcher Patrick Wisdom to first baseman Matt Mervis.",R,L,R,BOS,CHC,S,,,0,2,2024,-0.97,1.12,0.51,2.44,680776,622569,641933,2,8,Bot,,,,,,,8.92575355319941,-96.95617666888968,-0.5014840100071496,-7.41857590206232,13.899155351199507,-25.201986997465827,3.41,1.61,116,61.2,71,65.3,1686,5.0,746971,543228,670223,663611,683737,663538,672744,691718,643565,55.54,,,,,,,,79,3,Eephus,17,0,17,0,0,17,17,0,Strategic,Standard,221,0.0,0.0,73.3,7.1,,0.0,88.0,17,17,1.0,1.0,32,25,33,25,1,5,,2,,1,3.98,0.97,-0.97,23.3
EP,2024-04-27,65.0,-3.4,6.17,"Wisdom, Patrick",677800,621550,,foul,,,,,1,"Wilyer Abreu grounds out, pitcher Patrick Wisdom to first baseman Matt Mervis.",R,L,R,BOS,CHC,S,,,0,1,2024,-0.84,1.21,-0.51,2.97,680776,622569,641933,2,8,Bot,,,,,,,6.251287458519101,-94.42980320340972,0.6732020978211879,-5.974219252586786,14.786508908077892,-25.27255287987927,3.41,1.61,150,57.3,52,63.1,1660,4.8,746971,543228,670223,663611,683737,663538,672744,691718,643565,55.72,,,,,,,,79,2,Eephus,17,0,17,0,0,17,17,0,Strategic,Standard,221,0.0,-0.042,68.5,6.3,,0.042,88.0,17,17,1.0,1.0,32,25,33,25,1,5,,2,,1,4.21,0.84,-0.84,24.0
EP,2024-04-27,58.3,-3.16,6.35,"Wisdom, Patrick",677800,621550,,called_strike,,,,,6,"Wilyer Abreu grounds out, pitcher Patrick Wisdom to first baseman Matt Mervis.",R,L,R,BOS,CHC,S,,,0,0,2024,-0.22,1.23,0.76,2.69,680776,622569,641933,2,8,Bot,,,,,,,6.387941408054862,-84.81623875247669,1.4204840401992067,-1.8098194145548123,9.69479557637046,-26.53578948485377,3.66,1.8,,,,56.9,1475,4.6,746971,543228,670223,663611,683737,663538,672744,691718,643565,55.95,,,,,,,,79,1,Eephus,17,0,17,0,0,17,17,0,Strategic,Standard,219,0.0,-0.044,,,,0.044,,17,17,1.0,1.0,32,25,33,25,1,5,,2,,1,5.39,0.22,-0.22,26.7
FA,2024-04-27,83.4,-3.35,6.26,"Wisdom, Patrick",641933,621550,walk,ball,,,,,14,Tyler O'Neill walks.   Jarren Duran to 3rd.    Pablo Reyes to 2nd.,R,R,R,BOS,CHC,B,,,3,0,2024,-0.69,1.6,2.23,0.32,,680776,622569,2,8,Bot,,,,,,,13.79706471329698,-120.35318691535792,-10.036650224162996,-9.380496178929066,23.05389740225477,-14.64669052962638,3.4,1.48,,,,81.2,2160,5.2,746971,543228,670223,663611,683737,663538,672744,691718,643565,55.26,,0.689131,0.7,1,0,0,,78,4,Other,17,0,17,0,0,17,17,0,Standard,Standard,219,0.0,0.085,,,,-0.085,,17,17,1.0,1.0,32,29,33,29,1,5,,1,,1,1.73,0.69,0.69,30.3
EP,2024-04-27,57.4,-2.74,7.02,"Wisdom, Patrick",641933,621550,,blocked_ball,,,,,14,Tyler O'Neill walks.   Jarren Duran to 3rd.    Pablo Reyes to 2nd.,R,R,R,BOS,CHC,B,,,2,0,2024,-0.7,1.45,0.24,0.1,,680776,622569,2,8,Bot,,,,,,,5.515289189149756,-83.44181563688606,-3.4315668575419203,-4.037640482596254,11.789857776290969,-25.158636905980888,3.23,1.34,,,,55.8,1354,4.9,746971,543228,670223,663611,683737,663538,672744,691718,643565,55.58,,,,,,,,78,3,Eephus,17,0,17,0,0,17,17,0,Standard,Standard,208,0.0,0.08,,,,-0.08,,17,17,1.0,1.0,32,29,33,29,1,5,,1,,1,5.51,0.7,0.7,48.3
