pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
EP,2024-08-14,52.2,2.3,6.96,"Yastrzemski, Mike",672284,573262,field_out,hit_into_play,,,,,5,"Jarred Kelenic grounds out, second baseman Brett Wisely to first baseman LaMonte Wade Jr.",R,L,L,SF,ATL,X,4,ground_ball,2,1,2024,-0.04,1.52,0.2,2.3,606115,669221,593160,2,9,Top,152.02,153.1,,,,,-2.907105064484978,-75.97252061071303,1.657560612243282,0.2202293457494487,9.698387294484217,-26.726846576162085,3.55,1.69,130,101.2,8,50.8,1242,4.8,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.69,0.649,0.595,0.0,1,0,0,4,80,4,Eephus,2,13,13,2,13,2,13,2,Infield shade,Standard,159,0.0,-0.318,,,0.745,0.318,101.2,-11,11,0.0,1.0,33,24,34,25,1,2,,2,,1,6.87,-0.04,-0.04,57.2
EP,2024-08-14,51.7,1.99,7.07,"Yastrzemski, Mike",672284,573262,,foul,,,,,12,"Jarred Kelenic grounds out, second baseman Brett Wisely to first baseman LaMonte Wade Jr.",R,L,L,SF,ATL,S,,,2,0,2024,0.76,1.72,0.84,2.88,606115,669221,593160,2,9,Top,,,,,,,-2.501025001825947,-75.2475573165779,2.1975591554408433,3.2001077203536763,9.001443581754867,-26.117436629842945,3.55,1.69,277,95.1,22,50.4,1217,4.8,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.72,,,,,,,,80,3,Eephus,2,13,13,2,13,2,13,2,Infield shade,Standard,163,0.0,-0.08,72.1,7.2,,0.08,95.1,-11,11,0.0,1.0,33,24,34,25,1,2,,2,,1,6.8,0.76,0.76,61.9
EP,2024-08-14,53.4,2.28,6.8,"Yastrzemski, Mike",672284,573262,,ball,,,,,14,"Jarred Kelenic grounds out, second baseman Brett Wisely to first baseman LaMonte Wade Jr.",R,L,L,SF,ATL,B,,,1,0,2024,0.88,1.74,1.58,2.28,606115,669221,593160,2,9,Top,,,,,,,-2.078457235583101,-77.69049258567792,1.158267724902455,3.839114561872166,9.912055854514868,-25.513619282196295,3.77,1.93,,,,52.1,1335,5.0,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.55,,,,,,,,80,2,Eephus,2,13,13,2,13,2,13,2,Infield shade,Standard,157,0.0,0.088,,,,-0.088,,-11,11,0.0,1.0,33,24,34,25,1,2,,2,,1,6.27,0.88,0.88,55.8
EP,2024-08-14,45.9,2.16,7.03,"Yastrzemski, Mike",672284,573262,,ball,,,,,9,"Jarred Kelenic grounds out, second baseman Brett Wisely to first baseman LaMonte Wade Jr.",R,L,L,SF,ATL,B,,,0,0,2024,0.7,1.68,0.38,1.83,606115,669221,593160,2,9,Top,,,,,,,-2.9110511765308615,-66.68433500341607,3.176945168950493,2.4070952841037676,7.068723395421587,-27.71873711738604,3.67,1.76,,,,44.6,1109,4.8,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.74,,,,,,,,80,1,Eephus,2,13,13,2,13,2,13,2,Infield shade,Standard,165,0.0,0.031,,,,-0.031,,-11,11,0.0,1.0,33,24,34,25,1,2,,2,,1,9.16,0.7,0.7,60.2
EP,2024-08-14,50.4,2.4,6.9,"Yastrzemski, Mike",593160,573262,walk,ball,,,,,12,Whit Merrifield walks. Sean Murphy to 2nd.,R,R,L,SF,ATL,B,,,3,0,2024,0.63,1.42,2.43,3.97,606115,,669221,2,9,Top,,,,,,,-0.6716389450946472,-73.21137624344705,4.624925104819924,2.348569834003804,7.564684222560764,-27.6753092252482,3.49,1.71,,,,49.2,1208,4.8,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.72,,0.689131,0.7,1,0,0,,79,4,Eephus,2,13,13,2,13,2,13,2,Strategic,Standard,164,0.0,0.024,,,,-0.024,,-11,11,0.0,1.0,33,35,34,35,1,4,,1,,1,7.49,0.63,-0.63,55.7
EP,2024-08-14,48.3,2.34,6.98,"Yastrzemski, Mike",593160,573262,,ball,,,,,12,Whit Merrifield walks. Sean Murphy to 2nd.,R,R,L,SF,ATL,B,,,2,0,2024,-0.87,1.62,0.05,4.97,606115,,669221,2,9,Top,,,,,,,-1.984293822617721,-69.84501721688966,6.529114080440991,-2.6065142265571093,8.393408667589688,-27.917826770333303,3.54,1.66,,,,46.6,1141,4.8,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.74,,,,,,,,79,3,Eephus,2,13,13,2,13,2,13,2,Strategic,Standard,158,0.0,0.097,,,,-0.097,,-11,11,0.0,1.0,33,35,34,35,1,4,,1,,1,8.33,-0.87,0.87,58.9
EP,2024-08-14,47.2,2.27,6.98,"Yastrzemski, Mike",593160,573262,,ball,,,,,12,Whit Merrifield walks. Sean Murphy to 2nd.,R,R,L,SF,ATL,B,,,1,0,2024,-0.53,1.67,2.55,4.17,606115,,669221,2,9,Top,,,,,,,0.923103766181446,-68.3974244155033,5.691278165933966,-1.7592543912876712,7.526527247448089,-27.76891997967157,3.49,1.64,,,,45.6,1115,4.6,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.9,,,,,,,,79,2,Eephus,2,13,13,2,13,2,13,2,Strategic,Standard,156,0.0,0.06,,,,-0.06,,-11,11,0.0,1.0,33,35,34,35,1,4,,1,,1,8.64,-0.53,0.53,58.1
EP,2024-08-14,46.8,2.32,6.91,"Yastrzemski, Mike",593160,573262,,ball,,,,,12,Whit Merrifield walks. Sean Murphy to 2nd.,R,R,L,SF,ATL,B,,,0,0,2024,-0.91,1.71,1.12,4.42,606115,,669221,2,9,Top,,,,,,,-0.5255619408535323,-67.73167597669035,6.336496108899344,-2.73023861198159,8.11110727172873,-27.94718728299848,3.59,1.68,,,,45.1,1163,4.7,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.75,,,,,,,,79,1,Eephus,2,13,13,2,13,2,13,2,Standard,Standard,161,0.0,0.03,,,,-0.03,,-11,11,0.0,1.0,33,35,34,35,1,4,,1,,1,8.9,-0.91,0.91,57.4
EP,2024-08-14,50.1,2.2,6.91,"Yastrzemski, Mike",669221,573262,force_out,hit_into_play,,,,,12,"Sean Murphy grounds into a force out, first baseman LaMonte Wade Jr. to shortstop Tyler Fitzgerald. Orlando Arcia to 3rd. Ramón Laureano out at 2nd. Sean Murphy to 1st.",R,R,L,SF,ATL,X,3,ground_ball,3,0,2024,-0.76,1.47,0.85,4.15,,606115,657656,1,9,Top,163.93,160.55,,,,,-0.9363430208260674,-72.65505337492702,5.075792024248539,-2.568203437763202,8.847434829680498,-27.822771127542705,3.49,1.61,6,85.0,-32,48.6,1196,4.8,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.69,0.066,0.05,0.0,1,0,0,2,78,4,Eephus,2,13,13,2,13,2,13,2,Standard,Standard,158,0.0,-0.503,60.6,5.8,0.078,0.503,88.0,-11,11,0.0,1.0,33,29,34,30,1,4,,2,,2,7.7,-0.76,0.76,57.0
EP,2024-08-14,50.8,2.61,6.87,"Yastrzemski, Mike",669221,573262,,ball,,,,,12,"Sean Murphy grounds into a force out, first baseman LaMonte Wade Jr. to shortstop Tyler Fitzgerald. Orlando Arcia to 3rd. Ramón Laureano out at 2nd. Sean Murphy to 1st.",R,R,L,SF,ATL,B,,,2,0,2024,-0.37,1.37,1.8,4.06,,606115,657656,1,9,Top,,,,,,,-0.6724539473780675,-73.76810648415011,4.856252306176937,-1.2584585349171045,8.783814644208443,-27.959442598754148,3.61,1.67,,,,49.4,1185,4.8,745301,672275,664774,689172,669477,666149,624424,687529,666464,55.66,,,,,,,,78,3,Eephus,2,13,13,2,13,2,13,2,Standard,Standard,162,0.0,0.112,,,,-0.112,,-11,11,0.0,1.0,33,29,34,30,1,4,,2,,2,7.5,-0.37,0.37,54.6
