pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-09-27,90.8,1.63,5.68,"Young, Alex",669003,622065,strikeout,called_strike,,,,,13,Garrett Mitchell called out on strikes.,R,L,L,MIL,NYM,S,2,,2,2,2024,0.96,0.42,-0.42,1.36,,,,2,8,Bot,,,,,,,-7.150721947202885,-132.0827450510851,-5.8294886241700645,12.677609581919183,26.039677625371457,-26.214420107842468,3.62,1.6,,,,90.6,2289,6.0,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.46,,0.0,0.0,1,0,0,,73,7,Sinker,8,4,8,4,4,8,8,4,Strategic,Standard,132,-0.001,-0.219,,,,0.219,,4,4,0.988,0.988,30,25,31,26,1,2,7,1,,1,2.33,0.96,0.96,28.4
CU,2024-09-27,82.3,2.0,5.71,"Young, Alex",669003,622065,,foul,,,,,5,Garrett Mitchell called out on strikes.,R,L,L,MIL,NYM,S,,,2,2,2024,-1.15,-0.32,-0.18,2.4,,,,2,8,Bot,,,,,,,-2.6916954908835,-119.90216928275652,-0.3887469217811007,-10.574391705442068,23.4091094971087,-35.42928931550533,3.49,1.6,166,64.6,35,81.6,2106,5.8,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.73,,,,,,,,73,6,Curveball,8,4,8,4,4,8,8,4,Strategic,Standard,313,0.0,0.0,75.5,7.6,,0.0,88.0,4,4,0.988,0.988,30,25,31,26,1,2,7,1,,1,3.68,-1.15,-1.15,28.3
SI,2024-09-27,91.3,1.62,5.81,"Young, Alex",669003,622065,,foul,,,,,3,Garrett Mitchell called out on strikes.,R,L,L,MIL,NYM,S,,,2,2,2024,1.15,0.79,0.46,3.23,,,,2,8,Bot,,,,,,,-5.3537289254115406,-132.84942487909797,-2.2744073710043744,14.808077495181523,29.19499058522364,-22.56072876705264,3.49,1.6,186,67.6,42,90.3,2334,5.7,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.75,,,,,,,,73,5,Sinker,8,4,8,4,4,8,8,4,Standard,Standard,139,0.0,0.0,78.0,7.0,,0.0,88.0,4,4,0.988,0.988,30,25,31,26,1,2,7,1,,1,1.95,1.15,1.15,30.0
CH,2024-09-27,86.8,1.58,5.89,"Young, Alex",669003,622065,,ball,,,,,14,Garrett Mitchell called out on strikes.,R,L,L,MIL,NYM,B,,,1,2,2024,0.88,-0.03,0.1,0.85,,,,2,8,Bot,,,,,,,-5.318693868934359,-126.4121660750089,-5.861213412409642,10.482968111758057,22.091524280865418,-31.599579623843827,3.3,1.42,,,,86.7,1479,5.9,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.62,,,,,,,,73,4,Changeup,8,4,8,4,4,8,8,4,Standard,Standard,127,0.0,0.039,,,,-0.039,,4,4,0.988,0.988,30,25,31,26,1,2,7,1,,1,3.01,0.88,0.88,30.8
CH,2024-09-27,87.2,1.77,5.89,"Young, Alex",669003,622065,,swinging_strike,,,,,14,Garrett Mitchell called out on strikes.,R,L,L,MIL,NYM,S,,,1,1,2024,0.79,0.15,0.45,1.25,,,,2,8,Bot,,,,,,,-4.755866740076153,-126.9323054721262,-5.3364249344400845,9.467099945108671,23.51608383930498,-29.740079503187516,3.49,1.6,,,,86.8,1623,5.8,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.66,,,,,,,,73,3,Changeup,8,4,8,4,4,8,8,4,Standard,Standard,135,0.0,-0.064,81.2,8.4,,0.064,,4,4,0.988,0.988,30,25,31,26,1,2,7,1,,1,2.82,0.79,0.79,33.5
SI,2024-09-27,91.6,1.48,5.79,"Young, Alex",669003,622065,,ball,,,,,13,Garrett Mitchell called out on strikes.,R,L,L,MIL,NYM,B,,,0,1,2024,1.21,0.33,-2.84,1.91,,,,2,8,Bot,,,,,,,-13.406981339185066,-132.72871663497787,-4.606149701744739,17.079596219601793,27.17051532403772,-27.38119418069156,3.44,1.56,,,,90.9,2321,6.0,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.48,,,,,,,,73,2,Sinker,8,4,8,4,4,8,8,4,Standard,Standard,130,0.0,0.029,,,,-0.029,,4,4,0.988,0.988,30,25,31,26,1,2,7,1,,1,2.4,1.21,1.21,30.2
CU,2024-09-27,82.3,2.07,5.77,"Young, Alex",669003,622065,,foul,,,,,7,Garrett Mitchell called out on strikes.,R,L,L,MIL,NYM,S,,,0,0,2024,-1.35,-0.27,-0.56,2.11,,,,2,8,Bot,,,,,,,-3.3280503319812453,-119.92205994125518,-1.2997127308587355,-12.474645649604104,22.163624306432112,-34.756273267523675,3.49,1.6,118,68.1,71,81.7,2393,5.7,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.82,,,,,,,,73,1,Curveball,8,4,8,4,4,8,8,4,Standard,Standard,296,0.0,-0.041,77.8,8.0,,0.041,88.0,4,4,0.988,0.988,30,25,31,26,1,2,7,1,,1,3.61,-1.35,-1.35,28.7
CH,2024-09-27,86.3,1.66,5.94,"Young, Alex",668930,622065,strikeout,swinging_strike_blocked,,,,,13,Brice Turang strikes out swinging.,R,L,L,MIL,NYM,S,2,,1,2,2024,0.74,-0.07,-0.11,0.79,,,,1,8,Bot,,,,,,,-5.687748715340338,-125.55058984456704,-5.879053408260058,8.983082837183467,23.69764885613368,-32.01094736202667,3.28,1.55,,,,85.9,1510,5.9,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.58,,0.0,0.0,1,0,0,,72,5,Changeup,8,4,8,4,4,8,8,4,Strategic,Strategic,125,0.0,-0.182,73.0,7.6,,0.182,,4,4,0.988,0.988,30,24,31,25,1,4,7,1,,2,3.12,0.74,0.74,35.0
CH,2024-09-27,87.2,1.82,5.93,"Young, Alex",668930,622065,,ball,,,,,13,Brice Turang strikes out swinging.,R,L,L,MIL,NYM,B,,,0,2,2024,0.83,-0.1,-0.86,0.81,,,,1,8,Bot,,,,,,,-8.060402185911636,-126.7879750642771,-5.950745218524556,10.47777120338295,23.615839468255643,-32.33613748273765,3.28,1.61,,,,86.9,1450,5.9,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.57,,,,,,,,72,4,Changeup,8,4,8,4,4,8,8,4,Strategic,Strategic,127,0.0,0.02,,,,-0.02,,4,4,0.988,0.988,30,24,31,25,1,4,7,1,,2,3.08,0.83,0.83,32.7
CU,2024-09-27,81.7,2.09,5.76,"Young, Alex",668930,622065,,foul,,,,,4,Brice Turang strikes out swinging.,R,L,L,MIL,NYM,S,,,0,2,2024,-1.12,-0.13,-0.36,2.14,,,,1,8,Bot,,,,,,,-3.309082953910231,-118.99630715547204,-1.377656191840726,-10.14320411346921,21.392312756564184,-33.326363441392914,3.28,1.55,102,70.4,10,81.1,2315,5.7,745930,620443,624413,578428,668901,596019,607043,664056,621438,54.82,,,,,,,,72,3,Curveball,8,4,8,4,4,8,8,4,Standard,Strategic,308,0.0,0.0,65.6,6.8,,0.0,88.0,4,4,0.988,0.988,30,24,31,25,1,4,7,1,,2,3.52,-1.12,-1.12,27.1
