pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-10-17,91.8,3.4,5.48,"Young, Danny",669242,664849,field_out,hit_into_play,,,,,9,"Tommy Edman grounds out, pitcher Danny Young to first baseman Pete Alonso.",L,R,L,NYM,LAD,X,1,ground_ball,0,0,2024,1.82,0.45,0.48,1.66,,,,2,9,Top,128.32,180.94,,,,,-11.185530852232096,-132.9993507269432,-4.598992876156811,24.077148579229636,32.85066663645792,-25.984153455848556,3.24,1.47,3,73.8,-32,90.2,2464,5.9,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.57,0.037,0.061,0.0,1,0,0,2,85,1,Sinker,2,10,10,2,10,2,10,2,Standard,Standard,123,0.001,-0.256,77.1,7.4,0.037,0.256,88.0,-8,8,0.0,1.0,30,29,30,29,2,5,4,1,,1,2.32,1.82,-1.82,25.2
SI,2024-10-17,91.1,3.39,5.29,"Young, Danny",595281,664849,strikeout,swinging_strike,,,,,8,Kevin Kiermaier strikes out swinging.,L,L,L,NYM,LAD,S,2,,3,2,2024,1.57,-0.27,-0.27,1.76,,,,1,9,Top,,,,,,,-12.396124254607182,-131.76024966673026,-2.121565030370318,21.31072395727096,36.4223145223576,-34.91188280634612,3.39,1.59,,,,88.8,2265,5.9,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.6,,0.0,0.0,1,0,0,,84,6,Sinker,2,10,10,2,10,2,10,2,Infield shade,Standard,126,0.0,-0.332,66.2,6.5,,0.332,,-8,8,0.0,1.0,30,34,30,34,2,0,4,4,,,3.12,1.57,1.57,21.0
ST,2024-10-17,80.8,3.92,4.88,"Young, Danny",595281,664849,,ball,,,,,13,Kevin Kiermaier strikes out swinging.,L,L,L,NYM,LAD,B,,,2,2,2024,-1.72,-0.18,-1.2,1.1,,,,1,9,Top,,,,,,,-8.010279045076611,-117.22584429052692,-1.2131049209457243,-13.555183948712642,28.296398204656068,-33.78413346321953,3.36,1.6,,,,78.9,2814,5.7,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.76,,,,,,,,84,5,Sweeper,2,10,10,2,10,2,10,2,Infield shade,Standard,296,0.0,0.108,,,,-0.108,,-8,8,0.0,1.0,30,34,30,34,2,0,4,4,,,3.77,-1.72,-1.72,14.8
ST,2024-10-17,82.0,3.56,5.26,"Young, Danny",595281,664849,,ball,,,,,13,Kevin Kiermaier strikes out swinging.,L,L,L,NYM,LAD,B,,,1,2,2024,-1.68,0.12,-2.14,0.83,,,,1,9,Top,,,,,,,-9.565368270884434,-119.03440772697472,-3.567217116128432,-13.734625434585162,25.9525552572247,-30.47310907575383,3.38,1.6,,,,80.9,2829,6.0,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.53,,,,,,,,84,4,Sweeper,2,10,10,2,10,2,10,2,Infield shade,Standard,309,0.0,0.043,,,,-0.043,,-8,8,0.0,1.0,30,34,30,34,2,0,4,4,,,3.32,-1.68,-1.68,22.2
ST,2024-10-17,81.4,3.9,4.91,"Young, Danny",595281,664849,,ball,,,,,13,Kevin Kiermaier strikes out swinging.,L,L,L,NYM,LAD,B,,,0,2,2024,-1.51,0.25,-1.16,1.61,,,,1,9,Top,,,,,,,-8.333756387851365,-118.22730022926,-1.1728846344003494,-12.276623943905326,25.322955362616433,-29.860438111417213,3.43,1.67,,,,79.9,2873,5.7,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.83,,,,,,,,84,3,Sweeper,2,10,10,2,10,2,10,2,Infield shade,Standard,300,0.0,0.02,,,,-0.02,,-8,8,0.0,1.0,30,34,30,34,2,0,4,4,,,3.24,-1.51,-1.51,10.8
ST,2024-10-17,82.7,3.7,5.06,"Young, Danny",595281,664849,,swinging_strike,,,,,13,Kevin Kiermaier strikes out swinging.,L,L,L,NYM,LAD,S,,,0,1,2024,-1.21,0.37,-1.5,1.82,,,,1,9,Top,,,,,,,-9.386850344817647,-120.0430464729506,-1.5043971331037556,-9.58313213494437,25.65824171278376,-28.575171323539067,3.39,1.59,,,,81.4,2754,5.8,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.72,,,,,,,,84,2,Sweeper,2,10,10,2,10,2,10,2,Strategic,Standard,300,0.0,-0.057,67.0,8.0,,0.057,,-8,8,0.0,1.0,30,34,30,34,2,0,4,4,,,3.01,-1.21,-1.21,16.3
ST,2024-10-17,81.4,3.74,5.11,"Young, Danny",595281,664849,,swinging_strike,,,,,4,Kevin Kiermaier strikes out swinging.,L,L,L,NYM,LAD,S,,,0,0,2024,-1.25,0.33,-0.64,2.32,,,,1,9,Top,,,,,,,-7.346717076400622,-118.24339689751169,-0.1850383602440302,-10.073987807774088,25.27866358992779,-29.30814957680775,3.39,1.59,,,,80.1,2700,5.8,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.7,,,,,,,,84,1,Sweeper,2,10,10,2,10,2,10,2,Strategic,Standard,299,0.0,-0.037,66.8,8.4,,0.037,,-8,8,0.0,1.0,30,34,30,34,2,0,4,4,,,3.16,-1.25,-1.25,11.3
SI,2024-10-17,89.9,3.39,5.32,"Young, Danny",605141,664849,field_out,hit_into_play,,,,,14,"Mookie Betts grounds out, second baseman Jose Iglesias to first baseman Pete Alonso.",L,R,L,NYM,LAD,X,4,ground_ball,3,2,2024,1.76,0.04,0.93,1.23,,,,0,9,Top,150.6,149.04,,,,,-9.687693012945946,-130.32178274271575,-4.032327369984388,22.167394718301264,33.50327195476957,-30.86067378311221,3.1,1.43,10,77.2,-6,87.9,2373,5.7,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.75,0.097,0.088,0.0,1,0,0,2,83,6,Sinker,2,10,10,2,10,2,10,2,Standard,Standard,119,0.0,-0.333,67.1,7.1,0.118,0.333,88.0,-8,8,0.0,1.0,30,31,30,32,2,5,4,1,,1,2.85,1.76,-1.76,19.3
FF,2024-10-17,91.5,2.92,6.1,"Young, Danny",605141,664849,,ball,,,,,11,"Mookie Betts grounds out, second baseman Jose Iglesias to first baseman Pete Alonso.",L,R,L,NYM,LAD,B,,,2,2,2024,0.8,1.6,-0.86,3.99,,,,0,9,Top,,,,,,,-11.13729052054749,-132.67672365233545,-2.747361839257928,12.1751235622316,33.75846111993559,-13.039996163428237,3.19,1.47,,,,89.8,2284,5.9,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.62,,,,,,,,83,5,4-Seam Fastball,2,10,10,2,10,2,10,2,Standard,Standard,135,0.0,0.107,,,,-0.107,,-8,8,0.0,1.0,30,31,30,32,2,5,4,1,,1,1.18,0.8,-0.8,38.2
ST,2024-10-17,80.5,3.95,5.08,"Young, Danny",605141,664849,,foul,,,,,4,"Mookie Betts grounds out, second baseman Jose Iglesias to first baseman Pete Alonso.",L,R,L,NYM,LAD,S,,,2,1,2024,-1.31,0.22,-0.35,2.29,,,,0,9,Top,,,,,,,-6.969127516492531,-116.879772545798,0.2510971666964465,-10.122373004529882,27.90116837265527,-30.568850971619224,3.1,1.43,111,83.7,7,78.7,2611,5.8,775303,620443,624413,578428,668901,596019,607043,621438,516782,54.74,,,,,,,,83,4,Sweeper,2,10,10,2,10,2,10,2,Standard,Standard,298,0.0,-0.069,74.5,7.5,,0.069,88.0,-8,8,0.0,1.0,30,31,30,32,2,5,4,1,,1,3.4,-1.31,1.31,12.6
